ID;SD;Reversal;CD;EDS;Tray;Shelf
1;0.86;0.86;0.86;0.94;1;1
2;0.57;0.29;0.58;;0.75;0.36
3;0.78;0.75;0.63;;0.78;0.91
4;0.54;;0.86;;0.88;0.91
5;0.9;1;0.85;0.92;0.82;0.36
6;;;;;0.67;0.91
7;0.78;0.73;0.62;0.83;0.7;0.64
8;0.78;0.86;0.46;;0.86;0.45
9;0.78;0.6;0.42;;0.52;0.36
10;0.74;;;;0.73;
11;0.8;0.86;0.54;;0.79;0.55
12;0.69;0.75;0.58;;0.78;0.82
13;0.88;0.64;0.46;;0.71;
14;0.54;;;;0.25;0.64
15;0.86;0.86;0.63;;0.79;0.36
17;0.33;;0.46;;0.73;
18;0.5;;0.5;;0.73;0.64
19;0.7;0.86;0.46;;0.71;0.27
20;0.7;0.37;0.58;;0.67;0.45
21;0.88;;;;0.86;1
22;0.67;;0.58;;0.75;
23;0.78;0.71;0.42;;0.64;0.55
24;0.61;0.75;;;0.63;0.73
25;0.42;;;;0.62;0.36
26;0.54;;;;0.75;
27;0.86;0.82;0.54;;0.64;
28;0.9;0.76;0.42;;0.83;
29;0.5;;;;0.67;
30;0.67;0.86;0.37;;0.88;
31;0.88;0.73;0.58;;;0.36
32;0.64;0.75;0.38;;0.88;0.09
33;;;;;0.65;
34;;;;;0.56;
35;0.55;;;;0.86;
36;0.64;0.75;0.5;;0.8;
37;0.5;;;;1;
38;0.46;;;;0.64;0.82
39;;;;;0.62;
40;0.73;0.86;0.42;;0.7;0.55
41;0.8;0.77;0.58;;0.77;0.18
42;0.75;1;0.5;;0.83;0.64
43;0.58;;;;0.8;
44;0.87;0.73;0.54;;0.67;0.36
45;0.82;0.76;0.68;0.94;0.67;0.55
46;0.54;;;;1;0.2
47;0.6;0.7;0.42;;0.5;0.55
48;0.88;0.75;0.46;;0.75;0.64
50;;;;;;0.18
51;0.82;;1;0.83;0.76;0.27
52;0.83;0.75;0.65;;0.71;
53;0.78;0.69;0.33;;0.86;1
54;0.85;0.86;0.63;0.91;0.62;0.45
55;0.63;;;;0.82;0.7
56;0.8;0.8;0.46;;0.71;0.91
58;0.69;0.86;0.9;0.58;0.78;0.55
59;0.78;0.78;0.88;0.94;0.73;0.91
60;0.54;;;;0.73;0.64
62;0.78;0.76;0.75;0.67;0.56;0.27
64;0.58;;;;1;0.64
65;0.46;;;;0.77;0.18
66;0.75;0.65;0.5;;0.7;0.36
67;0.88;;0.47;;0.88;0.36
68;0.73;0.86;0.38;;0.47;0
69;0.73;0.77;0.67;;0.71;0.36
70;0.71;0.82;0.83;0.92;0.73;0.55
71;0.7;0.75;0.38;;0.9;0.55
72;0.88;0.8;0.29;;0.75;0.82
73;0.73;0.54;0.5;;0.83;0.45
74;0.86;0.75;0.5;;0.86;0.64
75;0.46;;;;0.8;0.36
76;0.82;0.67;0.58;;0.88;0.55
77;0.75;0.7;0.33;;0.75;0.45
78;0.71;0.86;0.29;;0.67;0.82
79;0.71;0.58;0.88;0.83;0.82;0.82
80;0.77;0.53;0.33;;0.86;0.45
81;0.57;;;;0.67;0.27
82;0.78;0.67;;;0.86;0.45
83;0.77;0.5;;;0.73;0.45
84;0.88;0.7;0.89;0.83;0.79;0.55
85;;;;;;0.73
86;1;0.7;;;0.86;0.73
87;0.88;0.7;1;0.94;0.8;1
88;0.46;;;;0.53;0.18
89;1;0.73;0.68;;0.71;0.55
91;0.86;0.75;0.42;;0.62;0.27
92;0.78;0.78;0.5;;0.73;1
93;0.73;;0.54;;0.54;0.55
94;0.78;0.77;0.46;;0.64;0.18
95;0.75;0.71;0.42;;0.73;0.55
96;0.73;0.58;1;0.94;0.63;0.55
97;0.75;;0.38;;0.78;0.55
98;0.86;;;;0.66;0.64
99;0.88;0.71;0.54;;0.67;0.91
100;0.78;0.75;0.21;;0.65;0.64
101;0.75;0.7;0.88;0.93;0.75;0.82
102;0.59;0.54;0.58;;0.63;0.73
103;0.86;0.77;0.5;;0.75;0.82
104;0.73;0.78;0.82;0.69;0.79;0.64
105;0.77;0.86;0.46;;0.53;
106;0.63;0.71;0.63;;0.75;0.09
107;0.5;;;;0.56;0.27
108;0.5;;;;0.75;1
109;0.38;;;;0.56;0.36
110;0.63;;;;0.89;0.73
111;0.78;0.83;0.5;;0.57;0.27
112;0.54;;;;0.75;0.36
113;0.73;0.71;0.38;;0.75;0.64
114;0.77;0.81;0.54;;0.77;0.18
115;0.77;0.76;0.5;;0.59;0.18
116;0.8;0.46;0.5;0.94;0.64;0.64
117;0.86;0.75;0.88;0.67;1;0.91
118;0.38;;;;1;1
119;0.86;0.61;0.64;0.94;0.8;1
120;0.78;0.86;0.38;;;0.82
121;0.63;;;;0.81;0.45
122;0.9;0.74;0.46;;0.73;0.55
123;0.75;0.7;0.38;;0.71;0.36
124;1;0.57;0.54;0.81;0.86;0.55
125;0.38;;;;0.75;0.91
126;;;;;0.44;0.45
127;0.79;0.77;0.58;;;1
128;;;;;;0.45
129;0.58;;;;0.71;
130;0.54;;;;0.86;0.64
131;0.64;0.75;;;0.69;0.64
132;0.73;0.86;0.5;;0.7;0.55
133;1;0.7;1;1;0.86;0.91
134;;;;;;0.82
135;;;;;0.78;0.27
136;;;;;0.88;0.45
137;;;;;;0.45
138;;;;;0.64;0.45
139;;;;;;0.64
140;;;;;0.58;0.55
141;;;;;;0.91
143;;;;;;0.5
144;0.8;0.78;0.54;;0.86;0.36
145;1;0.86;1;0.89;0.77;0.91
146;0.78;0.86;0.38;;0.88;0.55
147;0.86;0.63;0.58;;0.78;0.73
148;0.88;0.6;0.7;0.97;1;0.91
149;0.78;0.73;0.42;;0.78;0.45
150;0.73;0.86;0.38;;0.76;0.36
151;0.54;;;;0.47;0.91
152;0.89;0.7;0.58;;0.65;0.55
153;0.63;;;;1;1
154;0.78;0.86;0.86;;0.87;0.45
155;0.77;0.86;0.69;0.81;0.78;
156;0.91;0.86;0.46;;0.75;0.55
157;1;0.86;0.58;;1;1
158;0.82;0.85;0.38;;1;0.73
159;0.86;0.86;0.42;;0.9;0.91
160;1;0.86;0.33;;0.86;1
161;0.88;0.54;0.38;;0.71;0.09
162;0.89;0.59;0.38;;0.71;0.36
163;1;0.78;;;0.73;0.91
164;0.86;0.86;0.54;;0.65;0.91
165;1;0.86;1;0.89;0.86;0.91
166;1;0.73;0.42;;0.73;0.64
167;;;;;;0.18
169;;;;;;0.64
170;;;;;;0.82
171;;;;;;0.64
176;;;;;;0.82
190;;;;;;0.09
191;;;;;;0.27
192;;;;;;0.27
193;;;;;;0.45
194;;;;;;0.91
197;;;;;;0.18
198;;;;;;0.18
199;;;;;;0.73
